"","sector","state","year","action_occurred"
"1","Construction","Alabama",2021,0
"2","Construction","Alabama",2022,0
"3","Construction","Alabama",2023,0
"4","Construction","Alabama",2024,0
"5","Construction","Alabama",2025,0
"6","Construction","Alaska",2021,0
"7","Construction","Alaska",2022,0
"8","Construction","Alaska",2023,0
"9","Construction","Alaska",2024,0
"10","Construction","Alaska",2025,0
"11","Construction","Arizona",2021,0
"12","Construction","Arizona",2022,0
"13","Construction","Arizona",2023,0
"14","Construction","Arizona",2024,0
"15","Construction","Arizona",2025,0
"16","Construction","Arkansas",2021,0
"17","Construction","Arkansas",2022,0
"18","Construction","Arkansas",2023,0
"19","Construction","Arkansas",2024,0
"20","Construction","Arkansas",2025,0
"21","Construction","California",2021,1
"22","Construction","California",2022,1
"23","Construction","California",2023,1
"24","Construction","California",2024,1
"25","Construction","California",2025,0
"26","Construction","Colorado",2021,0
"27","Construction","Colorado",2022,1
"28","Construction","Colorado",2023,0
"29","Construction","Colorado",2024,0
"30","Construction","Colorado",2025,0
"31","Construction","Connecticut",2021,0
"32","Construction","Connecticut",2022,0
"33","Construction","Connecticut",2023,0
"34","Construction","Connecticut",2024,0
"35","Construction","Connecticut",2025,1
"36","Construction","Delaware",2021,0
"37","Construction","Delaware",2022,0
"38","Construction","Delaware",2023,0
"39","Construction","Delaware",2024,0
"40","Construction","Delaware",2025,0
"41","Construction","District of Columbia",2021,0
"42","Construction","District of Columbia",2022,0
"43","Construction","District of Columbia",2023,0
"44","Construction","District of Columbia",2024,0
"45","Construction","District of Columbia",2025,0
"46","Construction","Florida",2021,0
"47","Construction","Florida",2022,0
"48","Construction","Florida",2023,0
"49","Construction","Florida",2024,0
"50","Construction","Florida",2025,0
"51","Construction","Georgia",2021,0
"52","Construction","Georgia",2022,0
"53","Construction","Georgia",2023,0
"54","Construction","Georgia",2024,0
"55","Construction","Georgia",2025,0
"56","Construction","Hawaii",2021,0
"57","Construction","Hawaii",2022,0
"58","Construction","Hawaii",2023,0
"59","Construction","Hawaii",2024,0
"60","Construction","Hawaii",2025,0
"61","Construction","Idaho",2021,0
"62","Construction","Idaho",2022,0
"63","Construction","Idaho",2023,0
"64","Construction","Idaho",2024,0
"65","Construction","Idaho",2025,0
"66","Construction","Illinois",2021,0
"67","Construction","Illinois",2022,1
"68","Construction","Illinois",2023,1
"69","Construction","Illinois",2024,1
"70","Construction","Illinois",2025,0
"71","Construction","Indiana",2021,0
"72","Construction","Indiana",2022,0
"73","Construction","Indiana",2023,0
"74","Construction","Indiana",2024,1
"75","Construction","Indiana",2025,0
"76","Construction","Iowa",2021,0
"77","Construction","Iowa",2022,1
"78","Construction","Iowa",2023,0
"79","Construction","Iowa",2024,0
"80","Construction","Iowa",2025,0
"81","Construction","Kansas",2021,0
"82","Construction","Kansas",2022,0
"83","Construction","Kansas",2023,0
"84","Construction","Kansas",2024,0
"85","Construction","Kansas",2025,0
"86","Construction","Kentucky",2021,0
"87","Construction","Kentucky",2022,0
"88","Construction","Kentucky",2023,0
"89","Construction","Kentucky",2024,0
"90","Construction","Kentucky",2025,1
"91","Construction","Louisiana",2021,0
"92","Construction","Louisiana",2022,0
"93","Construction","Louisiana",2023,0
"94","Construction","Louisiana",2024,0
"95","Construction","Louisiana",2025,0
"96","Construction","Maine",2021,0
"97","Construction","Maine",2022,0
"98","Construction","Maine",2023,0
"99","Construction","Maine",2024,0
"100","Construction","Maine",2025,0
"101","Construction","Maryland",2021,0
"102","Construction","Maryland",2022,1
"103","Construction","Maryland",2023,0
"104","Construction","Maryland",2024,0
"105","Construction","Maryland",2025,0
"106","Construction","Massachusetts",2021,1
"107","Construction","Massachusetts",2022,0
"108","Construction","Massachusetts",2023,0
"109","Construction","Massachusetts",2024,1
"110","Construction","Massachusetts",2025,0
"111","Construction","Michigan",2021,0
"112","Construction","Michigan",2022,1
"113","Construction","Michigan",2023,1
"114","Construction","Michigan",2024,1
"115","Construction","Michigan",2025,0
"116","Construction","Minnesota",2021,0
"117","Construction","Minnesota",2022,0
"118","Construction","Minnesota",2023,0
"119","Construction","Minnesota",2024,0
"120","Construction","Minnesota",2025,1
"121","Construction","Mississippi",2021,0
"122","Construction","Mississippi",2022,0
"123","Construction","Mississippi",2023,0
"124","Construction","Mississippi",2024,0
"125","Construction","Mississippi",2025,0
"126","Construction","Missouri",2021,0
"127","Construction","Missouri",2022,1
"128","Construction","Missouri",2023,1
"129","Construction","Missouri",2024,0
"130","Construction","Missouri",2025,0
"131","Construction","Montana",2021,0
"132","Construction","Montana",2022,0
"133","Construction","Montana",2023,0
"134","Construction","Montana",2024,0
"135","Construction","Montana",2025,0
"136","Construction","Nebraska",2021,0
"137","Construction","Nebraska",2022,0
"138","Construction","Nebraska",2023,0
"139","Construction","Nebraska",2024,0
"140","Construction","Nebraska",2025,0
"141","Construction","Nevada",2021,0
"142","Construction","Nevada",2022,0
"143","Construction","Nevada",2023,0
"144","Construction","Nevada",2024,1
"145","Construction","Nevada",2025,0
"146","Construction","New Hampshire",2021,0
"147","Construction","New Hampshire",2022,0
"148","Construction","New Hampshire",2023,0
"149","Construction","New Hampshire",2024,0
"150","Construction","New Hampshire",2025,0
"151","Construction","New Jersey",2021,1
"152","Construction","New Jersey",2022,0
"153","Construction","New Jersey",2023,1
"154","Construction","New Jersey",2024,0
"155","Construction","New Jersey",2025,0
"156","Construction","New Mexico",2021,0
"157","Construction","New Mexico",2022,0
"158","Construction","New Mexico",2023,0
"159","Construction","New Mexico",2024,0
"160","Construction","New Mexico",2025,0
"161","Construction","New York",2021,1
"162","Construction","New York",2022,1
"163","Construction","New York",2023,1
"164","Construction","New York",2024,1
"165","Construction","New York",2025,1
"166","Construction","North Carolina",2021,0
"167","Construction","North Carolina",2022,0
"168","Construction","North Carolina",2023,0
"169","Construction","North Carolina",2024,0
"170","Construction","North Carolina",2025,0
"171","Construction","North Dakota",2021,0
"172","Construction","North Dakota",2022,0
