"","series_id","state","metric"
"1","LAUST010000000000003","Alabama","Unemployment Rate"
"2","LAUST010000000000006","Alabama","Labor Force"
"3","LAUST010000000000008","Alabama","Labor Force Participation Rate"
"4","LAUST020000000000003","Alaska","Unemployment Rate"
"5","LAUST020000000000006","Alaska","Labor Force"
"6","LAUST020000000000008","Alaska","Labor Force Participation Rate"
"7","LAUST040000000000003","Arizona","Unemployment Rate"
"8","LAUST040000000000006","Arizona","Labor Force"
"9","LAUST040000000000008","Arizona","Labor Force Participation Rate"
"10","LAUST050000000000003","Arkansas","Unemployment Rate"
"11","LAUST050000000000006","Arkansas","Labor Force"
"12","LAUST050000000000008","Arkansas","Labor Force Participation Rate"
"13","LAUST060000000000003","California","Unemployment Rate"
"14","LAUST060000000000006","California","Labor Force"
"15","LAUST060000000000008","California","Labor Force Participation Rate"
"16","LAUST080000000000003","Colorado","Unemployment Rate"
"17","LAUST080000000000006","Colorado","Labor Force"
"18","LAUST080000000000008","Colorado","Labor Force Participation Rate"
"19","LAUST090000000000003","Connecticut","Unemployment Rate"
"20","LAUST090000000000006","Connecticut","Labor Force"
"21","LAUST090000000000008","Connecticut","Labor Force Participation Rate"
"22","LAUST100000000000003","Delaware","Unemployment Rate"
"23","LAUST100000000000006","Delaware","Labor Force"
"24","LAUST100000000000008","Delaware","Labor Force Participation Rate"
"25","LAUST110000000000003","District of Columbia","Unemployment Rate"
"26","LAUST110000000000006","District of Columbia","Labor Force"
"27","LAUST110000000000008","District of Columbia","Labor Force Participation Rate"
"28","LAUST120000000000003","Florida","Unemployment Rate"
"29","LAUST120000000000006","Florida","Labor Force"
"30","LAUST120000000000008","Florida","Labor Force Participation Rate"
"31","LAUST130000000000003","Georgia","Unemployment Rate"
"32","LAUST130000000000006","Georgia","Labor Force"
"33","LAUST130000000000008","Georgia","Labor Force Participation Rate"
"34","LAUST150000000000003","Hawaii","Unemployment Rate"
"35","LAUST150000000000006","Hawaii","Labor Force"
"36","LAUST150000000000008","Hawaii","Labor Force Participation Rate"
"37","LAUST160000000000003","Idaho","Unemployment Rate"
"38","LAUST160000000000006","Idaho","Labor Force"
"39","LAUST160000000000008","Idaho","Labor Force Participation Rate"
"40","LAUST170000000000003","Illinois","Unemployment Rate"
"41","LAUST170000000000006","Illinois","Labor Force"
"42","LAUST170000000000008","Illinois","Labor Force Participation Rate"
"43","LAUST180000000000003","Indiana","Unemployment Rate"
"44","LAUST180000000000006","Indiana","Labor Force"
"45","LAUST180000000000008","Indiana","Labor Force Participation Rate"
"46","LAUST190000000000003","Iowa","Unemployment Rate"
"47","LAUST190000000000006","Iowa","Labor Force"
"48","LAUST190000000000008","Iowa","Labor Force Participation Rate"
"49","LAUST200000000000003","Kansas","Unemployment Rate"
"50","LAUST200000000000006","Kansas","Labor Force"
"51","LAUST200000000000008","Kansas","Labor Force Participation Rate"
"52","LAUST210000000000003","Kentucky","Unemployment Rate"
"53","LAUST210000000000006","Kentucky","Labor Force"
"54","LAUST210000000000008","Kentucky","Labor Force Participation Rate"
"55","LAUST220000000000003","Louisiana","Unemployment Rate"
"56","LAUST220000000000006","Louisiana","Labor Force"
"57","LAUST220000000000008","Louisiana","Labor Force Participation Rate"
"58","LAUST230000000000003","Maine","Unemployment Rate"
"59","LAUST230000000000006","Maine","Labor Force"
"60","LAUST230000000000008","Maine","Labor Force Participation Rate"
"61","LAUST240000000000003","Maryland","Unemployment Rate"
"62","LAUST240000000000006","Maryland","Labor Force"
"63","LAUST240000000000008","Maryland","Labor Force Participation Rate"
"64","LAUST250000000000003","Massachusetts","Unemployment Rate"
"65","LAUST250000000000006","Massachusetts","Labor Force"
"66","LAUST250000000000008","Massachusetts","Labor Force Participation Rate"
"67","LAUST260000000000003","Michigan","Unemployment Rate"
"68","LAUST260000000000006","Michigan","Labor Force"
"69","LAUST260000000000008","Michigan","Labor Force Participation Rate"
"70","LAUST270000000000003","Minnesota","Unemployment Rate"
"71","LAUST270000000000006","Minnesota","Labor Force"
"72","LAUST270000000000008","Minnesota","Labor Force Participation Rate"
"73","LAUST280000000000003","Mississippi","Unemployment Rate"
"74","LAUST280000000000006","Mississippi","Labor Force"
"75","LAUST280000000000008","Mississippi","Labor Force Participation Rate"
"76","LAUST290000000000003","Missouri","Unemployment Rate"
"77","LAUST290000000000006","Missouri","Labor Force"
"78","LAUST290000000000008","Missouri","Labor Force Participation Rate"
"79","LAUST300000000000003","Montana","Unemployment Rate"
"80","LAUST300000000000006","Montana","Labor Force"
"81","LAUST300000000000008","Montana","Labor Force Participation Rate"
"82","LAUST310000000000003","Nebraska","Unemployment Rate"
"83","LAUST310000000000006","Nebraska","Labor Force"
"84","LAUST310000000000008","Nebraska","Labor Force Participation Rate"
"85","LAUST320000000000003","Nevada","Unemployment Rate"
"86","LAUST320000000000006","Nevada","Labor Force"
"87","LAUST320000000000008","Nevada","Labor Force Participation Rate"
"88","LAUST330000000000003","New Hampshire","Unemployment Rate"
"89","LAUST330000000000006","New Hampshire","Labor Force"
"90","LAUST330000000000008","New Hampshire","Labor Force Participation Rate"
"91","LAUST340000000000003","New Jersey","Unemployment Rate"
"92","LAUST340000000000006","New Jersey","Labor Force"
"93","LAUST340000000000008","New Jersey","Labor Force Participation Rate"
"94","LAUST350000000000003","New Mexico","Unemployment Rate"
"95","LAUST350000000000006","New Mexico","Labor Force"
"96","LAUST350000000000008","New Mexico","Labor Force Participation Rate"
"97","LAUST360000000000003","New York","Unemployment Rate"
"98","LAUST360000000000006","New York","Labor Force"
"99","LAUST360000000000008","New York","Labor Force Participation Rate"
"100","LAUST370000000000003","North Carolina","Unemployment Rate"
"101","LAUST370000000000006","North Carolina","Labor Force"
"102","LAUST370000000000008","North Carolina","Labor Force Participation Rate"
"103","LAUST380000000000003","North Dakota","Unemployment Rate"
"104","LAUST380000000000006","North Dakota","Labor Force"
"105","LAUST380000000000008","North Dakota","Labor Force Participation Rate"
"106","LAUST390000000000003","Ohio","Unemployment Rate"
"107","LAUST390000000000006","Ohio","Labor Force"
"108","LAUST390000000000008","Ohio","Labor Force Participation Rate"
"109","LAUST400000000000003","Oklahoma","Unemployment Rate"
"110","LAUST400000000000006","Oklahoma","Labor Force"
"111","LAUST400000000000008","Oklahoma","Labor Force Participation Rate"
"112","LAUST410000000000003","Oregon","Unemployment Rate"
"113","LAUST410000000000006","Oregon","Labor Force"
"114","LAUST410000000000008","Oregon","Labor Force Participation Rate"
"115","LAUST420000000000003","Pennsylvania","Unemployment Rate"
"116","LAUST420000000000006","Pennsylvania","Labor Force"
"117","LAUST420000000000008","Pennsylvania","Labor Force Participation Rate"
"118","LAUST440000000000003","Rhode Island","Unemployment Rate"
"119","LAUST440000000000006","Rhode Island","Labor Force"
"120","LAUST440000000000008","Rhode Island","Labor Force Participation Rate"
"121","LAUST450000000000003","South Carolina","Unemployment Rate"
"122","LAUST450000000000006","South Carolina","Labor Force"
"123","LAUST450000000000008","South Carolina","Labor Force Participation Rate"
"124","LAUST460000000000003","South Dakota","Unemployment Rate"
"125","LAUST460000000000006","South Dakota","Labor Force"
"126","LAUST460000000000008","South Dakota","Labor Force Participation Rate"
"127","LAUST470000000000003","Tennessee","Unemployment Rate"
"128","LAUST470000000000006","Tennessee","Labor Force"
"129","LAUST470000000000008","Tennessee","Labor Force Participation Rate"
"130","LAUST480000000000003","Texas","Unemployment Rate"
"131","LAUST480000000000006","Texas","Labor Force"
"132","LAUST480000000000008","Texas","Labor Force Participation Rate"
"133","LAUST490000000000003","Utah","Unemployment Rate"
"134","LAUST490000000000006","Utah","Labor Force"
"135","LAUST490000000000008","Utah","Labor Force Participation Rate"
"136","LAUST500000000000003","Vermont","Unemployment Rate"
"137","LAUST500000000000006","Vermont","Labor Force"
"138","LAUST500000000000008","Vermont","Labor Force Participation Rate"
"139","LAUST510000000000003","Virginia","Unemployment Rate"
"140","LAUST510000000000006","Virginia","Labor Force"
"141","LAUST510000000000008","Virginia","Labor Force Participation Rate"
"142","LAUST530000000000003","Washington","Unemployment Rate"
"143","LAUST530000000000006","Washington","Labor Force"
