"","state","year","adjusted_cpi"
"1","Alabama",2015,212.604789855
"2","Alaska",2015,244.8962782925
"3","Arizona",2015,231.9559827425
"4","Arkansas",2015,210.88415715
"5","California",2015,262.22821627
"6","Colorado",2015,244.31088397
"7","Connecticut",2015,255.04232321
"8","Delaware",2015,232.133734055
"9","District of Columbia",2015,268.726804255
"10","Florida",2015,239.97849198
"11","Georgia",2015,224.3624466725
"12","Hawaii",2015,264.2925015125
"13","Idaho",2015,223.51161039
"14","Illinois",2015,234.47057131
"15","Indiana",2015,216.8163109525
"16","Iowa",2015,212.42940856
"17","Kansas",2015,220.1106352775
"18","Kentucky",2015,214.9582172325
"19","Louisiana",2015,219.961324175
"20","Maine",2015,227.48375972
"21","Maryland",2015,255.82916902
"22","Massachusetts",2015,248.72859659
"23","Michigan",2015,222.1298901875
"24","Minnesota",2015,231.5815199775
"25","Mississippi",2015,209.1137540775
"26","Missouri",2015,218.74313518
"27","Montana",2015,225.175362675
"28","Nebraska",2015,216.27831698
"29","Nevada",2015,233.65528529
"30","New Hampshire",2015,246.37753923
"31","New Jersey",2015,258.308207325
"32","New Mexico",2015,226.132849745
"33","New York",2015,259.910339155
"34","North Carolina",2015,221.71987716
"35","North Dakota",2015,216.093455615
"36","Ohio",2015,218.6791447075
"37","Oklahoma",2015,216.4465882225
"38","Oregon",2015,239.71305002
"39","Pennsylvania",2015,232.7475685875
"40","Rhode Island",2015,242.15890808
"41","South Carolina",2015,221.0965625575
"42","South Dakota",2015,208.300838075
"43","Tennessee",2015,219.8831135975
"44","Texas",2015,232.7902289025
"45","Utah",2015,231.44642898
"46","Vermont",2015,237.3785827825
"47","Virginia",2015,245.5124828425
"48","Washington",2015,247.29710602
"49","West Virginia",2015,214.5695343625
"50","Wisconsin",2015,221.155812995
"51","Wyoming",2015,229.82533701
"52","Alabama",2016,217.396906416667
"53","Alaska",2016,249.785637395833
"54","Arizona",2016,236.616540183333
"55","Arkansas",2016,214.264835729167
"56","California",2016,263.684351075
"57","Colorado",2016,246.516763620833
"58","Connecticut",2016,258.056224054167
"59","Delaware",2016,236.4029353625
"60","District of Columbia",2016,269.946092395833
"61","Florida",2016,242.5374738125
"62","Georgia",2016,227.84194215
"63","Hawaii",2016,263.7203518875
"64","Idaho",2016,223.200237391667
"65","Illinois",2016,238.889391479167
"66","Indiana",2016,219.420152079167
"67","Iowa",2016,214.948851166667
"68","Kansas",2016,221.121790483333
"69","Kentucky",2016,217.5601101
"70","Louisiana",2016,224.597068916667
"71","Maine",2016,233.568471391667
"72","Maryland",2016,257.434610025
"73","Massachusetts",2016,259.649860020833
"74","Michigan",2016,224.719471679167
"75","Minnesota",2016,233.460468954167
"76","Mississippi",2016,212.330392070833
"77","Missouri",2016,220.0945673
"78","Montana",2016,225.283484408333
"79","Nebraska",2016,218.090522070833
"80","Nevada",2016,233.218063483333
"81","New Hampshire",2016,252.3512953
"82","New Jersey",2016,261.872310179167
"83","New Mexico",2016,226.68991615
"84","New York",2016,264.337165808333
"85","North Carolina",2016,225.0554792625
"86","North Dakota",2016,220.104167516667
"87","Ohio",2016,221.784205433333
"88","Oklahoma",2016,219.556955166667
"89","Oregon",2016,239.033394729167
"90","Pennsylvania",2016,234.7612983125
"91","Rhode Island",2016,244.145510104167
"92","South Carolina",2016,224.6666704875
"93","South Dakota",2016,209.7335334625
"94","Tennessee",2016,225.079479804167
"95","Texas",2016,235.262909633333
"96","Utah",2016,233.002058608333
"97","Vermont",2016,236.002126316667
"98","Virginia",2016,246.737568604167
"99","Washington",2016,253.3377175625
"100","West Virginia",2016,215.51526395
"101","Wisconsin",2016,223.766650175
"102","Wyoming",2016,234.598094629167
"103","Alabama",2017,220.84911858
"104","Alaska",2017,257.04368544
"105","Arizona",2017,239.90727633
"106","Arkansas",2017,217.19436447
"107","California",2017,271.90046925
"108","Colorado",2017,252.36922797
"109","Connecticut",2017,262.7206878
"110","Delaware",2017,241.60106244
"111","District of Columbia",2017,269.84635527
"112","Florida",2017,247.25600391
"113","Georgia",2017,233.58070332
"114","Hawaii",2017,270.72879087
"115","Idaho",2017,231.74719824
"116","Illinois",2017,245.8073388
"117","Indiana",2017,222.77576964
"118","Iowa",2017,218.78765097
"119","Kansas",2017,224.44014123
"120","Kentucky",2017,220.68488751
"121","Louisiana",2017,226.47219432
"122","Maine",2017,239.25770568
"123","Maryland",2017,261.64950903
"124","Massachusetts",2017,262.91188218
"125","Michigan",2017,227.23697184
"126","Minnesota",2017,237.19133565
"127","Mississippi",2017,215.23584768
"128","Missouri",2017,224.82007878
"129","Montana",2017,231.01183524
"130","Nebraska",2017,220.19954793
"131","Nevada",2017,244.69694067
"132","New Hampshire",2017,259.25222565
"133","New Jersey",2017,267.97363083
"134","New Mexico",2017,234.6298212
"135","New York",2017,269.49828345
"136","North Carolina",2017,228.09979776
"137","North Dakota",2017,217.43703426
"138","Ohio",2017,225.35934498
"139","Oklahoma",2017,222.85420836
"140","Oregon",2017,248.76349806
"141","Pennsylvania",2017,242.97128883
"142","Rhode Island",2017,251.19019596
"143","South Carolina",2017,227.63897028
"144","South Dakota",2017,213.92935275
"145","Tennessee",2017,228.14391954
"146","Texas",2017,238.67922012
"147","Utah",2017,241.95403668
"148","Vermont",2017,246.09658158
"149","Virginia",2017,248.22668307
"150","Washington",2017,263.38496571
"151","West Virginia",2017,218.22142146
"152","Wisconsin",2017,229.2861834
"153","Wyoming",2017,238.22084385
"154","Alabama",2018,219.43083106
"155","Alaska",2018,262.52954924
"156","Arizona",2018,244.43029728
"157","Arkansas",2018,218.84828022
"158","California",2018,281.16113214
"159","Colorado",2018,251.82768855
"160","Connecticut",2018,261.286606715
"161","Delaware",2018,249.2413637
"162","District of Columbia",2018,280.00105245
"163","Florida",2018,251.890463425
"164","Georgia",2018,238.090034905
"165","Hawaii",2018,278.296086845
"166","Idaho",2018,230.265774485
"167","Illinois",2018,251.910551385
"168","Indiana",2018,232.862143315
"169","Iowa",2018,230.612291795
"170","Kansas",2018,232.28712546
"171","Kentucky",2018,223.66436863
"172","Louisiana",2018,227.920505155
